timestamp,robot_id,battery,temperature,vibration,current,status,data_quality
2026-08-11 10:00:00,101,92,45,1.2,2.1,Running,Valid
2026-08-11 10:05:00,102,87,48,1.5,2.4,Running,Valid
2026-08-11 10:10:00,103,95,43,1.1,2.0,Running,Valid
2026-08-11 10:15:00,104,61,60,2.8,3.1,Running,Valid
2026-08-11 10:20:00,105,15,82,5.9,4.8,Offline,Valid
2026-08-11 10:25:00,101,90,47,1.3,2.2,Running,Valid
2026-08-11 10:30:00,103,93,46,1.4,2.1,Running,Valid
2026-08-11 10:35:00,104,59,62,3.0,3.2,Running,Valid
2026-08-11 10:40:00,105,12,85,6.2,5.1,Offline,Valid
2026-08-11 10:45:00,101,88,49,1.5,2.3,Running,Valid
2026-08-11 10:50:00,102,84,51,1.7,2.5,Running,Valid
2026-08-11 10:55:00,103,91,47,1.3,2.2,Running,Valid
2026-08-11 11:00:00,104,57,64,3.1,3.3,Running,Valid
2026-08-11 11:05:00,105,10,88,6.8,5.4,Offline,Valid
2026-08-11 11:10:00,101,85,50,1.6,2.4,Running,Valid
2026-08-11 11:15:00,102,82,53,1.8,2.6,Running,Valid
2026-08-11 11:20:00,103,89,48,1.5,2.3,Running,Valid
2026-08-11 11:25:00,104,55,66,3.4,3.5,Running,Valid
2026-08-11 11:30:00,105,8,91,7.1,5.8,Offline,Valid
2026-08-11 11:35:00,101,83,52,1.7,2.5,Running,Valid
2026-08-11 11:40:00,102,80,54,1.9,2.7,Running,Valid
2026-08-11 11:45:00,103,87,50,1.6,2.4,Running,Valid
2026-08-11 11:50:00,104,52,68,3.6,3.7,Running,Valid
2026-08-11 11:55:00,105,5,94,7.5,6.1,Offline,Valid
2026-08-11 12:00:00,101,81,53,1.8,2.6,Running,Valid
2026-08-11 12:05:00,102,78,55,2.0,2.8,Running,Valid
2026-08-11 12:10:00,103,85,51,1.7,2.5,Running,Valid
2026-08-11 12:15:00,104,50,70,3.8,3.9,Running,Valid
2026-08-11 12:20:00,105,3,97,8.1,6.5,Offline,Valid
2026-08-11 12:25:00,101,79,54,1.9,2.7,Running,Valid
