timestamp,robot_id,battery,temperature,vibration,current,status
2026-08-11 10:00,101,92,45,1.2,2.1,Running
2026-08-11 10:05,102,87,48,1.5,2.4,Running
2026-08-11 10:10,103,95,43,1.1,2.0,Running
2026-08-11 10:15,104,61,60,2.8,3.1,Running
2026-08-11 10:20,105,15,82,5.9,4.8,Offline
2026-08-11 10:25,101,90,47,1.3,2.2,Running
2026-08-11 10:30,103,93,46,1.4,2.1,Running
2026-08-11 10:35,104,59,62,3.0,3.2,Running
2026-08-11 10:40,105,12,85,6.2,5.1,Offline
2026-08-11 10:45,101,88,49,1.5,2.3,Running
2026-08-11 10:50,102,84,51,1.7,2.5,Running
2026-08-11 10:55,103,91,47,1.3,2.2,Running
2026-08-11 11:00,104,57,64,3.1,3.3,Running
2026-08-11 11:05,105,10,88,6.8,5.4,Offline
2026-08-11 11:10,101,85,50,1.6,2.4,Running
2026-08-11 11:15,102,82,53,1.8,2.6,Running
2026-08-11 11:20,103,89,48,1.5,2.3,Running
2026-08-11 11:25,104,55,66,3.4,3.5,Running
2026-08-11 11:30,105,8,91,7.1,5.8,Offline
2026-08-11 11:35,101,83,52,1.7,2.5,Running
2026-08-11 11:40,102,80,54,1.9,2.7,Running
2026-08-11 11:45,103,87,50,1.6,2.4,Running
2026-08-11 11:50,104,52,68,3.6,3.7,Running
2026-08-11 11:55,105,5,94,7.5,6.1,Offline
2026-08-11 12:00,101,81,53,1.8,2.6,Running
2026-08-11 12:05,102,78,55,2.0,2.8,Running
2026-08-11 12:10,103,85,51,1.7,2.5,Running
2026-08-11 12:15,104,50,70,3.8,3.9,Running
2026-08-11 12:20,105,3,97,8.1,6.5,Offline
2026-08-11 12:25,101,79,54,1.9,2.7,Running
2026-08-11 10:20,105,15,82,5.9,4.8,Offline
2026-08-11 11:30,105,8,91,7.1,5.8,Offline
2026-08-11 12:30,101,145,55,2.0,2.8,Running
2026-08-11 12:35,102,-10,56,2.1,2.9,Running
2026-08-11 12:40,103,82,180,2.0,2.7,Running
2026-08-11 12:45,104,75,65,-4.5,3.5,Running
2026-08-11 12:50,105,2,98,8.5,-12.0,Running
2026-08-11 12:55,101,78,57,2.2,3.0,RUNNING
